OrderID,ProductID,WarehouseID,OrderDate,Quantity,OrderStatus
101,1,1,2026-01-14,2,Completed
102,3,1,2026-01-22,10,Completed
103,2,3,2026-02-05,5,Completed
104,6,1,2026-02-18,4,Completed
105,7,3,2026-02-27,15,Completed
106,4,4,2026-03-08,3,Completed
107,9,1,2026-03-15,20,Completed
108,5,4,2026-03-29,6,Completed
109,11,1,2026-04-03,8,Completed
110,10,4,2026-04-12,5,Cancelled
111,8,2,2026-04-20,12,Completed
112,1,2,2026-05-02,1,Completed
113,14,4,2026-05-14,25,Completed
114,12,2,2026-05-25,7,Completed
115,13,1,2026-06-04,6,Completed
116,2,1,2026-06-16,8,Completed
117,15,1,2026-06-28,2,Completed
118,3,2,2026-07-05,5,Shipped
119,7,1,2026-07-12,30,Shipped
120,4,1,2026-07-21,4,Shipped
121,9,2,2026-07-30,8,Shipped
122,6,2,2026-08-04,3,Processing
123,8,4,2026-08-11,6,Processing
124,10,3,2026-08-18,10,Processing
125,5,3,2026-08-25,5,Pending
126,11,3,2026-08-29,4,Pending
127,1,1,2026-09-02,2,Pending
128,15,1,2026-09-04,1,Pending
